Model,Accuracy,Avg_Levenshtein,Mean_Time,Median_Time
deepseek_v3_default_prompt,20.07575757575757,9.325757575757576,4.247133955606052,4.089783183000009
deepseek_v3_extended_prompt,37.87878787878788,19.234848484848484,4.932908440916654,4.49480037100011
gpt_4.1_default_prompt,25.75757575757576,3.1893939393939394,0.6767796670340975,0.5692824739999196
gpt_4.1_mini_default_prompt,23.484848484848484,3.8333333333333335,0.6139181527537989,0.5389309619999949
gpt_4.1_nano_default_prompt,12.87878787878788,5.84469696969697,0.3999423015113614,0.3238598909997563
gpt_4.1_extended_prompt,42.04545454545455,1.7878787878787878,2.8289928292083304,3.040243466000448
gpt_4.1_mini_extended_prompt,31.818181818181817,2.446969696969697,0.6082877695795539,0.4971138999999311
gpt_4.1_nano_extended_prompt,17.803030303030305,6.026515151515151,0.5638452176969353,0.4713913959994897
qwen_0.5B_default_prompt,0.7575757575757576,237.54545454545453,7.775284547310592,0.5078549789996032
qwen_0.5B_extended_prompt,0.7575757575757576,303.65909090909093,11.750210821238662,22.412320265000744
qwen_7B_default_prompt,11.742424242424242,185.54166666666663,6.894248163412937,0.4152717090000806
qwen_7B_extended_prompt,26.51515151515152,32.446969696969695,2.3079741471514987,1.4332696490000671
qwen_05_finutined_default_prompt,0.7575757575757576,237.54545454545453,7.754871939787818,0.5229151679995994
qwen_05_finetuned_extended_prompt,0.7575757575757576,303.65909090909093,11.761665472821988,22.44229707199884
qwen_7_finetuned_default_prompt,11.742424242424242,185.54166666666663,6.89654026924624,0.4169241759991564
qwen_7_finetuned_extended_prompt,26.51515151515152,32.446969696969695,2.2988136988750822,1.425022524999804
